Actual_Test,Predicted_Test
3020,3123.3103
3220,3115.4414
3140,3130.9036
3100,3098.8635
2850,3044.6873
2830,2920.0754
2960,2848.0032
2950,2964.2
3060,3069.4553
3040,3127.1655
3110,3034.3938
3150,3073.6047
3050,3052.6902
2880,3026.0898
2940,2937.0842
3100,3019.277
2910,3042.687
2780,2922.2158
2750,2813.764
2540,2676.6995
2750,2653.487
2710,2768.5735
2760,2685.0618
2790,2791.9756
2550,2697.6008
2750,2692.9966
2750,2801.1555
2680,2690.804
2660,2696.145
2690,2797.577
2660,2774.1472
2590,2762.7268
2530,2788.4414
2650,2785.293
2350,2784.6187
2410,2788.4414
2420,2788.4414
2310,2788.4414
2410,2788.4414
2330,2788.4414
2550,2788.4414
2600,2788.4414
2680,2788.4414
2600,2788.4414
2740,2788.4414
2690,2793.1436
2820,2702.1526
2840,2808.3916
2740,2771.4067
2640,2719.163
2710,2688.8413
2630,2740.3752
2730,2734.3203
2770,2790.4216
2820,2709.9607
2980,2888.9578
2940,3041.6697
3310,3198.0745
3240,3222.587
3130,3182.9941
3150,3190.5251
3100,3165.6992
3230,3150.566
3110,3081.9707
3070,3088.6528
3040,3033.6135
2880,2977.5479
3290,3027.1294
3200,3104.4182
